user_id,transaction_date,region,product_category,sale_amount,city,age,subscription,status,price,email,username,store_id,raw_timestamp
36,3/23/2025,East,Clothing,156.75,Los Angeles,37,Premium,,64.55,user1@example.com,user1,104,2025-03-23 00:00:00
28,1/5/2025,East,Electronics,570.02,Denver,29,Premium,Pending,24.6,user2@example.com,user2,103,2025-01-05 00:00:00
21,4/14/2025,South,Groceries,292.31,San Francisco,40,Basic,Completed,435.96,user3@example.com,user3,101,2025-04-14 00:00:00
45,2/18/2025,North,Electronics,735.14,Denver,19,Basic,Completed,57.39,user4@example.com,user4,103,2025-02-18 00:00:00
47,4/17/2025,East,Electronics,64.91,San Francisco,40,Basic,Completed,318.03,user5@example.com,user5,102,2025-04-17 00:00:00
36,4/21/2025,South,Groceries,179.4,Seattle,22,Basic,,59.49,user6@example.com,user6,101,2025-04-21 00:00:00
69,3/19/2025,East,Clothing,473.02,Seattle,45,Premium,,321.14,user7@example.com,user7,103,2025-03-19 00:00:00
8,4/18/2025,East,Electronics,808.94,Phoenix,24,Premium,Completed,386.47,user8@example.com,user8,103,2025-04-18 00:00:00
51,1/28/2025,South,Clothing,279.58,San Francisco,39,Basic,,331.16,user9@example.com,user9,104,2025-01-28 00:00:00
47,4/25/2025,East,Clothing,519.34,Los Angeles,40,Premium,Completed,295.93,user10@example.com,user10,102,2025-04-25 00:00:00
55,3/22/2025,West,Furniture,393.99,Phoenix,32,Basic,,88.39,user11@example.com,user11,101,2025-03-22 00:00:00
69,3/29/2025,North,Groceries,129.32,Phoenix,21,Basic,Completed,363.15,user12@example.com,user12,103,2025-03-29 00:00:00
65,3/6/2025,West,Groceries,844.84,Denver,35,Premium,Completed,383.36,user13@example.com,user13,103,2025-03-06 00:00:00
68,4/8/2025,West,Groceries,498.83,Los Angeles,45,Basic,Pending,89.16,user14@example.com,user14,102,2025-04-08 00:00:00
73,1/8/2025,West,Electronics,737.27,Los Angeles,40,Premium,Completed,128.03,user15@example.com,user15,104,2025-01-08 00:00:00
68,3/12/2025,South,Clothing,930.34,San Francisco,38,Basic,Pending,90.91,user16@example.com,user16,103,2025-03-12 00:00:00
